year,carrier_name,on_time,flights,count
2012,Hawaiian Airlines Inc.,0.935257526076455,74109,17
2012,Alaska Airlines Inc.,0.8862972575540934,147569,10
2012,AirTran Airways Corporation,0.8797453268671904,218162,1
2013,Hawaiian Airlines Inc.,0.9348144868992613,72286,17
2013,Alaska Airlines Inc.,0.8785340855482962,154743,10
2013,Endeavor Air Inc.,0.8569153814089203,119950,4
2014,Hawaiian Airlines Inc.,0.9220414280361826,74732,17
2014,Alaska Airlines Inc.,0.8691164816513475,160257,10
2014,Delta Air Lines Inc.,0.8469604872715915,800375,7
2015,Hawaiian Airlines Inc.,0.8870096496748479,76272,17
2015,Alaska Airlines Inc.,0.8704389610540166,172521,10
2015,Delta Air Lines Inc.,0.8652522431700197,875881,7
2016,Hawaiian Airlines Inc.,0.9134250999492115,76789,17
2016,Alaska Airlines Inc.,0.8804377256317689,177280,10
2016,Delta Air Lines Inc.,0.8711042908882835,922746,7
2017,Hawaiian Airlines Inc.,0.8860824227909994,80172,17
2017,Delta Air Lines Inc.,0.8656340681709905,923560,7
2017,Alaska Airlines Inc.,0.8364060777660103,185068,10
2018,Hawaiian Airlines Inc.,0.8969219927618456,83723,17
2018,Delta Air Lines Inc.,0.8628554393157783,949283,7
2018,Alaska Airlines Inc.,0.8361334792745798,245761,10
2019,Hawaiian Airlines Inc.,0.8858399589944094,83891,17
2019,Delta Air Lines Inc.,0.8558234247493661,991985,7
2019,Southwest Airlines Co.,0.8290922074627588,1363946,3
2020,Southwest Airlines Co.,0.9418044349385608,961276,3
2020,Hawaiian Airlines Inc.,0.9335609828520526,40413,17
2020,Endeavor Air Inc.,0.9254884875119577,211162,4
2021,Endeavor Air Inc.,0.9150625042181911,266702,4
2021,Hawaiian Airlines Inc.,0.9064946648607578,60542,17
2021,Delta Air Lines Inc.,0.8850785697287961,747998,7
2022,Endeavor Air Inc.,0.8423666746173165,142546,4
2022,Horizon Air,0.837215909090909,56320,1
2022,Envoy Air,0.8369532778459396,150785,1
