airport,on_time,arr_flights,airport_name
SLC,85.41319676851953,64243,Salt Lake City International
ATL,83.14595118445482,183671,Hartsfield-Jackson Atlanta International
SFO,82.97764431097765,74925,San Francisco International
IAH,82.8680479825518,73360,George Bush Intercontinental/Houston
SEA,82.71865867100831,98887,Seattle/Tacoma International
HNL,82.57695969533482,31510,Daniel K Inouye International
OGG,82.4830621344606,17269,Kahului Airport
DTW,82.4717457784869,75210,Detroit Metro Wayne County
MSP,82.40147434079954,70540,Minneapolis-St Paul International
BOI,81.91352594898167,14779,Boise Air Terminal
