year,on_time,delayed_flights,flights
2005,0.7946858770172514,1466065,7140595
2006,0.7737952052682737,1615537,7141922
2007,0.7580258650776384,1804028,7455458
2008,0.7824823180886616,1524735,7009706
2009,0.8111263094201042,1218288,6450279
2010,0.8178505200454752,1174884,6450109
2011,0.8176135314158306,1109872,6085276
2012,0.8334922701591435,1015158,6096762
2013,0.8007252082234015,1269277,6369481
2014,0.7868439004022468,1240528,5819810
2015,0.8172495083411868,1063439,5819076
2016,0.8283556038952196,964239,5617655
2017,0.818582582254479,1029474,5674615
2018,0.8129575433981331,1179431,6305686
2019,0.8128203217745444,1389253,7422029
2020,0.9078346746694458,431921,4686372
2021,0.8314819114413203,1010332,5995392
