year,type,value
2005,delay_carrier,21441880
2005,delay_late,26157607
2005,delay_security,141045
2005,delay_nas,24046197
2005,delay_weather,4713790
2006,delay_carrier,24255294
2006,delay_late,32245816
2006,delay_security,221371
2006,delay_nas,25610715
2006,delay_weather,4853843
2007,delay_carrier,28827070
2007,delay_late,38006943
2007,delay_security,176946
2007,delay_nas,28209475
2007,delay_weather,5745298
2008,delay_carrier,24048217
2008,delay_late,31670242
2008,delay_security,114316
2008,delay_nas,26171501
2008,delay_weather,4633717
2009,delay_carrier,18506063
2009,delay_late,23910267
2009,delay_security,78826
2009,delay_nas,20220286
2009,delay_weather,3290377
2010,delay_carrier,19217505
2010,delay_late,24918253
2010,delay_security,107410
2010,delay_nas,16229118
2010,delay_weather,2785212
2011,delay_carrier,18553241
2011,delay_late,25179765
2011,delay_security,81353
2011,delay_nas,15303210
2011,delay_weather,2558373
2012,delay_carrier,18165456
2012,delay_late,23569552
2012,delay_security,73052
2012,delay_nas,12828822
2012,delay_weather,2279810
2013,delay_carrier,21136897
2013,delay_late,30296035
2013,delay_security,103651
2013,delay_nas,17426866
2013,delay_weather,2974153
2014,delay_carrier,21259409
2014,delay_late,29483984
2014,delay_security,65350
2014,delay_nas,16519549
2014,delay_weather,2988669
2015,delay_carrier,20172956
2015,delay_late,24961931
2015,delay_security,80985
2015,delay_nas,14335762
2015,delay_weather,3100233
2016,delay_carrier,19533337
2016,delay_late,23458398
2016,delay_security,81925
2016,delay_nas,14170617
2016,delay_weather,2606083
2017,delay_carrier,20516702
2017,delay_late,25905070
2017,delay_security,94170
2017,delay_nas,16500787
2017,delay_weather,2799759
2018,delay_carrier,22728280
2018,delay_late,29531303
2018,delay_security,113570
2018,delay_nas,18909611
2018,delay_weather,3981242
2019,delay_carrier,29352960
2019,delay_late,38075922
2019,delay_security,133484
2019,delay_nas,23044854
2019,delay_weather,5282501
2020,delay_carrier,11260214
2020,delay_late,7860388
2020,delay_security,63083
2020,delay_nas,5831467
2020,delay_weather,1894289
2021,delay_carrier,27197273
2021,delay_late,23479920
2021,delay_security,226000
2021,delay_nas,11130095
2021,delay_weather,4580003
2022,delay_carrier,22397637
2022,delay_late,20766341
2022,delay_security,115260
2022,delay_nas,9382590
2022,delay_weather,2969174
